name,all_active_durations_in_seconds,timezone_of_analysis,date_of_analysis,analysis_fail,analysis_fail_reason
Activity Analysis,"485, 431, 431, 1261, 4162, 438, 4791, 2218, 404, 2956, 448, 301, 426, 312, 948, 1419, 558, 869, 336, 779, 431, 1313, 366, 1059, 489, 409, 389",Asia/Singapore,2015-01-18T16:00:00.000Z,null,null
Activity Analysis,"428, 422, 461, 431, 723, 935, 345, 965, 437, 1785, 311, 860, 2717, 676, 301, 868, 343, 459, 736, 321, 742, 665, 1683, 1154, 374, 583, 341, 491, 1357, 446, 523",Asia/Singapore,2015-01-17T16:00:00.000Z,null,null
Activity Analysis,"468, 407, 426, 429, 480, 540, 851, 1366, 1373, 1216, 732, 749, 1633, 836, 1193, 629, 424, 460, 448, 316, 1135, 400, 528, 453, 537, 306",Asia/Singapore,2015-01-16T16:00:00.000Z,null,null
Activity Analysis,"427, 397, 429, 622, 1204, 510, 960, 331, 2384, 560, 678, 698, 825, 690, 1079, 410, 468, 418, 619, 451, 896",Asia/Singapore,2015-01-15T16:00:00.000Z,null,null
Activity Analysis,"458, 422, 412, 456, 1849, 763, 1800, 654, 1115, 327, 1143, 396, 495, 489, 387, 1691, 384, 437, 494, 605, 527, 326, 352, 958, 538, 387, 370, 301, 316, 2240, 310, 301",Asia/Singapore,2015-01-14T16:00:00.000Z,null,null
Activity Analysis,"395, 452, 441, 423, 1122, 874, 666, 1620",Asia/Singapore,2015-01-13T16:00:00.000Z,null,null
Activity Analysis,"430, 497, 378, 415, 419, 418, 430, 837, 869, 1981, 985, 335, 1839, 384, 585, 310, 301, 333, 742, 349, 1616, 636, 1139, 389, 320, 485, 1149, 962, 430, 1227, 958, 339, 341, 411, 1011, 343, 486",Asia/Singapore,2015-01-12T16:00:00.000Z,null,null
Activity Analysis,"2146, 447, 447, 440, 536, 704, 3563, 806, 343, 911, 1430, 3209, 2348, 665, 431, 598, 1002, 532, 345, 3225, 379, 599, 345, 308, 546, 616, 357, 400, 577, 310, 385, 643",Asia/Singapore,2015-01-11T16:00:00.000Z,null,null
Activity Analysis,"2153, 410, 422, 408, 523, 453, 468, 470, 1002, 1793, 1667, 623, 946, 316, 625, 334, 2512, 2818, 1210, 412, 431, 506, 310, 656",Asia/Singapore,2015-01-10T16:00:00.000Z,null,null
Activity Analysis,"426, 390, 438, 416, 400, 388, 495, 2216, 1523, 922, 1282, 684, 1586, 836, 470, 387, 480, 582, 342, 438",Asia/Singapore,2015-01-09T16:00:00.000Z,null,null
Activity Analysis,"411, 447, 411, 446, 503, 498, 1195, 1410, 309, 307, 1069, 327, 905, 460, 485, 468, 910, 447, 395, 413, 397, 467, 644, 310",Asia/Singapore,2015-01-08T16:00:00.000Z,null,null
Activity Analysis,"980, 384, 418, 454, 421, 564, 764, 1434, 1221, 1542, 2341, 376, 353, 1621, 400, 330, 307, 765, 791, 613, 312, 449, 724, 1669, 1147, 413, 377, 482, 565, 415, 471, 320, 506, 542, 321, 374",Asia/Singapore,2015-01-07T16:00:00.000Z,null,null
Activity Analysis,"408, 393, 418, 432, 437, 608, 1049, 386, 1195, 440, 374, 1067, 1350, 598, 655, 616, 310, 325, 783, 1890, 553, 1250, 338, 390, 513, 569",Asia/Singapore,2015-01-06T16:00:00.000Z,null,null
Activity Analysis,"421, 399, 433, 497, 530, 1234, 440, 812, 1791, 1573, 302, 757, 4256, 393, 472, 1469, 301, 302, 709, 311, 377, 452, 652, 349, 595, 387, 1087, 473, 316, 369, 742, 339, 579",Asia/Singapore,2015-01-05T16:00:00.000Z,null,null
Activity Analysis,"436, 407, 408, 431, 477, 488, 718, 3397, 486, 1534, 468, 502, 558, 395, 373, 839, 598, 1518, 319, 301, 2811, 620, 412, 320, 328, 1016, 333, 308, 866, 760",Asia/Singapore,2015-01-04T16:00:00.000Z,null,null
Activity Analysis,"425, 409, 433, 437, 1440, 993, 5352, 302, 467, 1152, 506, 418, 301, 653, 533, 302, 439, 991, 634, 419",Asia/Singapore,2015-01-03T16:00:00.000Z,null,null
Activity Analysis,"396, 639, 334, 396, 443, 435, 446, 1281, 609, 550, 1308, 1318, 1518, 549, 2507, 3552, 473, 529, 733, 938, 529",Asia/Singapore,2015-01-02T16:00:00.000Z,null,null
Activity Analysis,"442, 426, 517, 438, 315, 2377, 688, 825, 308, 334, 1462, 302, 504, 314, 518, 463",Asia/Singapore,2015-01-01T16:00:00.000Z,null,null
Activity Analysis,"1031, 522, 427, 378, 477, 318, 1098, 1074, 1263, 316, 302, 516, 431, 2276, 314, 764, 325, 326, 2790, 357, 450, 517",Asia/Singapore,2014-12-31T16:00:00.000Z,null,null
